Financial Year,Bag Number,Status Description,Blood Group,RH,Blood Classification,Stock Creation Date,Stock Issue Date,Expiry Date
2017-2018,9717PL,Issued,O,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9718CY,Issued,B,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9718PL,Issued,B,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9719PL,Issued,B,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9719CY,Issued,B,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9720FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9721PR,Expired,O,POSITIVE,PACKED RED CELLS,21-11-2017,NA,26-12-2017
2017-2018,9721PR,Expired,O,POSITIVE,PACKED RED CELLS,21-11-2017,NA,26-12-2017
2017-2018,9722FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9723FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9723PT,Expired,B,POSITIVE,PLATELETS,15-11-2017,NA,21-11-2017
2017-2018,9724FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9725PR,Issued,B,POSITIVE,PACKED RED CELLS,15-11-2017,16-11-2017,26-12-2017
2017-2018,9725FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9726FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9726PT,Expired,B,POSITIVE,PLATELETS,15-11-2017,NA,21-11-2017
2017-2018,9727PT,Issued,B,POSITIVE,PLATELETS,15-11-2017,18-11-2017,21-11-2017
2017-2018,9727FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9728CY,Issued,O,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9728PL,Issued,O,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9729FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9729PT,Expired,B,POSITIVE,PLATELETS,15-11-2017,NA,21-11-2017
2017-2018,9730FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9731FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9731PT,Expired,B,POSITIVE,PLATELETS,15-11-2017,NA,21-11-2017
2017-2018,9732FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9733FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9734PL,Issued,O,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9734CY,Issued,O,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9735FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9736PL,Issued,O,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9736PR,Expired,O,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9736PR,Expired,O,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9736CY,Issued,O,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9737PL,Issued,A,POSITIVE,PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9737CY,Issued,A,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9738FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9738PR,Issued,B,POSITIVE,PACKED RED CELLS,15-11-2017,19-11-2017,26-12-2017
2017-2018,9738PR,Issued,B,POSITIVE,PACKED RED CELLS,15-11-2017,19-11-2017,26-12-2017
2017-2018,9739FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9740FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9741FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9742FP,Issued,O,NEGATIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9743FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9744CY,Issued,O,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9744PL,Issued,O,POSITIVE,PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9745FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9746PL,Issued,O,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9746PR,Issued,O,POSITIVE,PACKED RED CELLS,15-11-2017,16-11-2017,26-12-2017
2017-2018,9746CY,Issued,O,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9747FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9748FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9750CY,Available,B,NEGATIVE,CRYO,15-11-2017,NA,15-11-2018
2017-2018,9750PL,Issued,B,NEGATIVE,PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9751FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9752CY,Issued,B,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9752PL,Issued,B,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9754FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9755CY,Issued,B,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9755PL,Issued,B,POSITIVE,PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9756FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,12-12-2017,15-11-2018
2017-2018,9756FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,12-12-2017,15-11-2018
2017-2018,9756PR,Issued,AB,POSITIVE,PACKED RED CELLS,15-11-2017,18-11-2017,26-12-2017
2017-2018,9757FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9758PL,Issued,A,POSITIVE,PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9759FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9760PR,Issued,B,POSITIVE,PACKED RED CELLS,15-11-2017,18-11-2017,26-12-2017
2017-2018,9760FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9761,Expired,O,POSITIVE,SINGLE DONOR PLATELET,15-11-2017,NA,21-11-2017
2017-2018,9762CY,Issued,O,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9762PL,Issued,O,POSITIVE,PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9763FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9764FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9765FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9766FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9766PR,Issued,B,POSITIVE,PACKED RED CELLS,15-11-2017,18-11-2017,26-12-2017
2017-2018,9767FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9768FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,12-12-2017,15-11-2018
2017-2018,9768FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,12-12-2017,15-11-2018
2017-2018,9769FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9770FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9771FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9771PR,Expired,B,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9771PR,Expired,B,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9772FP,HBsAg Positive,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,NA,15-11-2018
2017-2018,9772PR,HBsAg Positive,O,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9773FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9774FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9775FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9776PL,Issued,B,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9776CY,Issued,B,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9777FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9778FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9778PR,Issued,A,POSITIVE,PACKED RED CELLS,15-11-2017,23-11-2017,26-12-2017
2017-2018,9779PR,Issued,A,POSITIVE,PACKED RED CELLS,15-11-2017,23-11-2017,26-12-2017
2017-2018,9779FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9780PR,Issued,O,POSITIVE,PACKED RED CELLS,15-11-2017,16-11-2017,26-12-2017
2017-2018,9780FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9781CY,Issued,O,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9781PL,Issued,O,POSITIVE,PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9781PR,Expired,O,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9781PR,Expired,O,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9781PR,Expired,O,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9781PR,Expired,O,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9781PR,Expired,O,POSITIVE,PACKED RED CELLS,15-11-2017,NA,26-12-2017
2017-2018,9782CY,Issued,A,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9782PL,Issued,A,POSITIVE,PLASMA,15-11-2017,17-04-2018,15-11-2018
2017-2018,9783PR,Issued,B,POSITIVE,PACKED RED CELLS,15-11-2017,22-11-2017,26-12-2017
2017-2018,9783PR,Issued,B,POSITIVE,PACKED RED CELLS,15-11-2017,22-11-2017,26-12-2017
2017-2018,9783PR,Issued,B,POSITIVE,PACKED RED CELLS,15-11-2017,22-11-2017,26-12-2017
2017-2018,9783FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9784FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,27-11-2017,15-11-2018
2017-2018,9785CY,Issued,A,POSITIVE,CRYO,15-11-2017,17-04-2018,15-11-2018
2017-2018,9785PL,Issued,A,POSITIVE,PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9786FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,15-11-2017,28-12-2017,15-11-2018
2017-2018,9787,Discard - Polycythemia,B,POSITIVE,WHOLE BLOOD,15-11-2017,NA,19-12-2017
2017-2018,9789FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9790FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9791FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9791PR,Issued,B,POSITIVE,PACKED RED CELLS,16-11-2017,23-11-2017,27-12-2017
2017-2018,9792FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9792PR,Expired,O,POSITIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9792PR,Expired,O,POSITIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9793FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9794FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9795FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9795PR,Issued,O,POSITIVE,PACKED RED CELLS,16-11-2017,23-11-2017,27-12-2017
2017-2018,9796FP,Available,AB,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,NA,16-11-2018
2017-2018,9798FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9798PR,Issued,A,POSITIVE,PACKED RED CELLS,16-11-2017,23-11-2017,27-12-2017
2017-2018,9799FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9800FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9801FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9801PT,Expired,B,POSITIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9802FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9803FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9804FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9804PT,Expired,B,POSITIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9805PT,Issued,A,POSITIVE,PLATELETS,16-11-2017,18-11-2017,22-11-2017
2017-2018,9805FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9805PR,Issued,A,POSITIVE,PACKED RED CELLS,16-11-2017,23-11-2017,27-12-2017
2017-2018,9806FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9807FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9807PR,Expired,A,POSITIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9808FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9808PR,Issued,O,POSITIVE,PACKED RED CELLS,16-11-2017,29-11-2017,27-12-2017
2017-2018,9808PR,Issued,O,POSITIVE,PACKED RED CELLS,16-11-2017,29-11-2017,27-12-2017
2017-2018,9808PR,Issued,O,POSITIVE,PACKED RED CELLS,16-11-2017,29-11-2017,27-12-2017
2017-2018,9808PR,Issued,O,POSITIVE,PACKED RED CELLS,16-11-2017,29-11-2017,27-12-2017
2017-2018,9808PR,Issued,O,POSITIVE,PACKED RED CELLS,16-11-2017,29-11-2017,27-12-2017
2017-2018,9809PT,Expired,B,POSITIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9809FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9810FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9810PT,Issued,A,POSITIVE,PLATELETS,16-11-2017,18-11-2017,22-11-2017
2017-2018,9811FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9811PR,Expired,O,POSITIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9811PR,Expired,O,POSITIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9811PR,Expired,O,POSITIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9812FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9813FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9813PT,Issued,A,POSITIVE,PLATELETS,16-11-2017,18-11-2017,22-11-2017
2017-2018,9814FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9815FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9816FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9816PT,Expired,B,POSITIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9817FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9818FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9819FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9820FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9821FP,Issued,A,NEGATIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9821PR,Expired,A,NEGATIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9821PT,Issued,A,NEGATIVE,PLATELETS,19-11-2017,19-11-2017,25-11-2017
2017-2018,9821PT,Issued,A,NEGATIVE,PLATELETS,19-11-2017,19-11-2017,25-11-2017
2017-2018,9822FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9823FP,Issued,B,NEGATIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9824FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9824PR,Expired,O,POSITIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9824PR,Expired,O,POSITIVE,PACKED RED CELLS,16-11-2017,NA,27-12-2017
2017-2018,9825FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9826FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9826PT,Issued,A,POSITIVE,PLATELETS,16-11-2017,18-11-2017,22-11-2017
2017-2018,9827PT,Expired,AB,NEGATIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9827FP,Available,AB,NEGATIVE,FRESH FROZEN PLASMA,25-11-2017,NA,16-11-2018
2017-2018,9828FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9829FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9829PT,Expired,B,POSITIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9830FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9831FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9832FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9833FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9834FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9835FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9835PT,Expired,B,POSITIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9836FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9838PT,Expired,B,POSITIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9838FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9839FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,28-12-2017,16-11-2018
2017-2018,9839PT,Issued,A,POSITIVE,PLATELETS,16-11-2017,19-11-2017,22-11-2017
2017-2018,9840PT,Expired,B,POSITIVE,PLATELETS,16-11-2017,NA,22-11-2017
2017-2018,9840FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,16-11-2017,27-11-2017,16-11-2018
2017-2018,9841FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9842FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9843FP,Expired,A,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9844FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9845FP,Expired,A,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9846FP,Expired,A,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9847FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9848FP,Expired,A,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9849FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9850FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9851FP,Expired,A,NEGATIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9852FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9852PR,Expired,B,POSITIVE,PACKED RED CELLS,17-11-2017,NA,28-12-2017
2017-2018,9852PR,Expired,B,POSITIVE,PACKED RED CELLS,17-11-2017,NA,28-12-2017
2017-2018,9853PR,Issued,O,POSITIVE,PACKED RED CELLS,17-11-2017,17-11-2017,28-12-2017
2017-2018,9853FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9854FP,Expired,A,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9855FP,Expired,A,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9856FP,Expired,B,NEGATIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9857FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9857PR,Issued,O,POSITIVE,PACKED RED CELLS,17-11-2017,17-11-2017,28-12-2017
2017-2018,9858FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9859FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9860FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9861FP,Expired,A,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9862FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9863FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9864FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9865FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9866FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9867FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9868FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9869FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9869PR,Expired,B,POSITIVE,PACKED RED CELLS,17-11-2017,NA,28-12-2017
2017-2018,9869PR,Expired,B,POSITIVE,PACKED RED CELLS,17-11-2017,NA,28-12-2017
2017-2018,9870FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9871FP,Expired,B,NEGATIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9872FP,Expired,A,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,NA,27-12-2017
2017-2018,9873FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9874FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9874PR,Expired,B,POSITIVE,PACKED RED CELLS,17-11-2017,NA,28-12-2017
2017-2018,9874PR,Expired,B,POSITIVE,PACKED RED CELLS,17-11-2017,NA,28-12-2017
2017-2018,9875PR,Expired,O,POSITIVE,PACKED RED CELLS,17-11-2017,NA,28-12-2017
2017-2018,9875PR,Expired,O,POSITIVE,PACKED RED CELLS,17-11-2017,NA,28-12-2017
2017-2018,9875FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9876FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,17-11-2017,27-11-2017,27-12-2017
2017-2018,9877,Expired,B,POSITIVE,WHOLE BLOOD,16-11-2017,NA,20-12-2017
